GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
582,11000007000000034,천안시,HE0000146398,천안 봉선홍경사 갈기비,천안 봉선홍경사 갈기비(국보 제7호),11,0000070000000,ADDR440000,ADD1441300,4.0,,,,,3.989024,,,,127.13471104279941,36.94315442855689
558,12000943000000036,보성군,HE0000148959,보성 우천리 삼층석탑,보성 우천리 삼층석탑(보물 제943호),12,0009430000000,ADDR460000,ADD1467800,5.47,,,,,5.459459,,,,127.2303714054712,34.799951569020166
493,15000055000000035,무주군,HE0000149213,무주구천동 일사대 일원,무주구천동 일사대 일원(명승 제55호),15,0000550000000,ADDR520000,ADD1527300,51566.84,,,,,51524.21195,,,,127.76669481405831,35.95913102407631
494,15000056000000035,무주군,HE0000149212,무주구천동 파회·수심대 일원,무주구천동 파회·수심대 일원(명승 제56호),15,0000560000000,ADDR520000,ADD1527300,53250.16,,,,,53202.447891,,,,127.7543639643298,35.930058363163745
434,12001569000000034,논산시,HE0000146492,논산 돈암서원 응도당,논산 돈암서원 응도당(보물 제1569호),12,0015690000000,ADDR440000,ADD1442300,211.63,,,,,211.435497,,,,127.18087281909487,36.208845663331076
435,12000383000000011,종로구,HE0000145689,창덕궁 돈화문,창덕궁 돈화문(보물 제383호),12,0003830000000,ADDR110000,ADD1111100,465.5,,,,,465.566774,,,,126.9899723598746,37.57787354317527
1664,15000086000000038,함양군,HE0000148339,함양 화림동 거연정 일원,함양 화림동 거연정 일원(명승 제86호),15,0000860000000,ADDR480000,ADD1488700,20047.76,,,,,20047.758448,,,,127.73731467799956,35.62690696783229
438,13000192000000021,동래구,HE0000147473,부산 동래 패총,부산 동래 패총(사적 제192호),13,0001920000000,ADDR260000,ADD1262600,1391.98,,,,,1390.353447,,,,129.08881530661063,35.19729892758381
439,13000266000000021,영도구,HE0000147527,부산 동삼동 패총,부산 동삼동 패총(사적 제266호),13,0002660000000,ADDR260000,ADD1262000,7855.24,,,,,7845.507804,,,,129.07988628719843,35.07040210936487
440,15000037000000032,동해시,HE0000143863,동해 무릉계곡,동해 무릉계곡(명승 제37호),15,0000370000000,ADDR510000,ADD1511700,1740109.2,,,,,1738100.248494,,,,129.00240532182755,37.4567384901126
441,12001277000000032,동해시,HE0000148903,동해 삼화사 삼층석탑,동해 삼화사 삼층석탑(보물 제1277호),12,0012770000000,ADDR510000,ADD1511700,3.91,,,,,3.916863,,,,129.01450165189425,37.4635725992366
1665,15000089000000036,화순군,HE0000148340,화순 임대정 원림,화순 임대정 원림(명승 제89호),15,0000890000000,ADDR460000,ADD1467900,11085.51,,,,,11085.512273,,,,127.09514875146706,34.9997207641686
394,12001563000000022,동구,HE0000146479,대구 동화사 대웅전,대구 동화사 대웅전(보물 제1563호),12,0015630000000,ADDR270000,ADD1271400,258.25,,,,,257.691712,,,,128.70362542192225,35.993455114084625
395,13000262000000022,동구,HE0000147523,대구 불로동 고분군,대구 불로동 고분군(사적 제262호),13,0002620000000,ADDR270000,ADD1271400,312676.78,,,,,312331.040764,,,,128.6474111862992,35.91363979819547
468,13000258000000011,중구,HE0000148699,서울 명동성당,서울 명동성당(사적 제258호),13,0002580000000,ADDR110000,ADD1111400,1667.67,,,,,1666.817077,,,,126.98729721282722,37.56324117641505
1896,12001902000000050,제주특별자치도,,제주향교 대성전,제주향교 대성전(보물 제1902호),12,0019020000000,ADDR500000,ADD1501100,8428.0,,,,,,,,,126.51560114622764,33.51153459165244
357,18000190000000034,논산시,HE0000147688,논산 명재고택,논산 명재고택(국가민속문화유산 제190호),18,0001900000000,ADDR440000,ADD1442300,7998.72,,,,,7992.144927,,,,127.13150242726006,36.28194111882637
358,12001307000000036,고흥군,HE0000146039,고흥 능가사 대웅전,고흥 능가사 대웅전(보물 제1307호),12,0013070000000,ADDR460000,ADD1467700,427.06,,,,,426.975063,,,,127.41409479128788,34.63880113445221
359,11000199000000037,경주시,HE0000145600,경주 단석산 신선사 마애불상군,경주 단석산 신선사 마애불상군(국보 제199호),11,0001990000000,ADDR470000,ADD1471300,124.21,,,,,124.062053,,,,129.08195149262906,35.79682611572606
444,12000247000000022,동구,HE0000148362,대구 동화사 비로암 삼층석탑,대구 동화사 비로암 삼층석탑(보물 제247호),12,0002470000000,ADDR270000,ADD1271400,5.47,,,,,5.498816,,,,128.7021437675165,35.99210757825621
445,12000244000000022,동구,HE0000148359,대구 동화사 비로암 석조비로자나불좌상,대구 동화사 비로암 석조비로자나불좌상(보물 제244호),12,0002440000000,ADDR270000,ADD1271400,1.2,,,,,1.225699,,,,128.7021453322734,35.992267614912706
446,12000831000000036,순천시,HE0000148479,순천 동화사 삼층석탑,순천 동화사 삼층석탑(보물 제831호),12,0008310000000,ADDR460000,ADD1461500,4.41,,,,,4.439747,,,,127.39474907472837,34.8731015972274
447,12000243000000022,동구,HE0000148358,대구 동화사 마애여래좌상,대구 동화사 마애여래좌상(보물 제243호),12,0002430000000,ADDR270000,ADD1271400,148.63,,,,,148.241269,,,,128.7011359191074,35.9856658623244
448,15000066000000036,해남군,HE0000151702,두륜산 대흥사 일원,두륜산 대흥사 일원(명승 제66호),15,0000660000000,ADDR460000,ADD1468200,8708653.0,,,,,8672127.181129,,,,126.6182677850969,34.48162725967158
454,13000240000000038,창원시,HE0000149104,창원 성산 패총,창원 성산 패총(사적 제240호),13,0002400000000,ADDR480000,ADD1481100,54262.5,,,,,54201.736061,,,,128.67955231827173,35.208234340958214
411,12000320000000036,해남군,HE0000148204,해남 대흥사 삼층석탑,해남 대흥사 삼층석탑(보물 제320호),12,0003200000000,ADDR460000,ADD1468200,18.33,,,,,18.288104,,,,126.61716363463717,34.47725432275604
414,12000819000000011,중구,HE0000149139,덕수궁 중화전 및 중화문,덕수궁 중화전 및 중화문(보물 제819호),12,0008190000000,ADDR110000,ADD1111400,1915.86,,,,,1914.400691,,,,126.97474030648624,37.56545532472084
415,12000820000000011,중구,HE0000149140,덕수궁 함녕전,덕수궁 함녕전(보물 제820호),12,0008200000000,ADDR110000,ADD1111400,568.67,,,,,567.982937,,,,126.97589386334603,37.56594983386652
424,12000350000000022,달성군,HE0000145469,달성 도동서원 중정당·사당·담장,달성 도동서원 중정당·사당·담장(보물 제350호),12,0003500000000,ADDR270000,ADD1277100,95.38,,,,,95.031226,,,,128.3703544738971,35.70146326441292
