NTFDATE,ALIAS,REMARK,MNUM,SGG_OID,COL_ADM_SE,centroid_longitude,centroid_latitude
20201224,해공 신익희 가옥,해공 신익희 가옥,61100001111020200568ZA00060001003,19.0,11110,126.97223730254149,37.582003557130776
20201224,인왕산 백운동 계곡,,61100001111020200568ZA00060001005,20.0,11110,126.96630287373654,37.589619773823834
20201224,백사 이항복 집터,,61100001111020200568ZA00060001008,21.0,11110,126.9664271597663,37.578221197850006
20201224,삼청동문,,61100001111020200568ZA00060001009,22.0,11110,126.98222593077551,37.583714063989916
20201224,인왕산 수성동 계곡,,61100001111020200568ZA00060001004,3.0,11110,126.9632095674327,37.582300605279706
20201224,옥인동 박노수 가옥,,61100001111020200568ZA00060001006,4.0,11110,126.96668672241292,37.581398559927216
20201224,종친부 터 우물,,61100001111020200568ZA00060001007,5.0,11110,126.98120351766302,37.57922736164094
20201224,월암동,,61100001111020200568ZA00060001011,6.0,11110,126.96538986232632,37.57069132296944
20201224,보신각 터,보신각 터,61100001111020200568ZA00060001002,1.0,11110,126.98358900963235,37.56975119331636
20201224,필운동 홍건익 가옥,,61100001111020200568ZA00060001018,7.0,11110,126.96883153987247,37.57798661470856
20201224,운니동 김승현 가옥,,61100001111020200568ZA00060002002,8.0,11110,126.98706717697857,37.576665459916995
20201224,숭보사,,61100001111020200568ZA00060001016,9.0,11110,126.99637066824228,37.586584813731996
20201224,석파정 별당,,61100001111020200568ZA00060002004,10.0,11110,126.95864838467398,37.59913907389073
20201224,황학정,,61100001111020200568ZA00060002005,11.0,11110,126.96405418112508,37.577498464018404
20201224,"천도교 중앙대교당, 경운동 민병옥 가옥",,61100001111020200568ZA00060003001,12.0,11110,126.98585329306786,37.574985398533705
20201224,기기국 번사창,,61100001111020200568ZA00060004000,13.0,11110,126.98263713979671,37.58667350880109
20201224,종묘 어정,,61100001111020200568ZA00060004001,14.0,11110,126.99515057777101,37.57139906926545
20201224,우암 송시열 집터,,61100001111020200568ZA00060004002,15.0,11110,126.99705604640674,37.59071163614592
20201224,조계사 대웅전,,61100001111020200568ZA00060005000,16.0,11110,126.98183314769088,37.57372799482129
20201224,경희궁 흥화문,,61100001111020200568ZA00060001023,17.0,11110,126.96965980554518,37.569534522586885
20201224,백호정,,61100001111020200568ZA00060001010,23.0,11110,126.96562963142527,37.57949603663392
20201224,평창동 보헌산신각,,61100001111020200568ZA00060001012,24.0,11110,126.96619236224882,37.61428512550485
20201224,선바위,,61100001111020200568ZA00060001013,25.0,11110,126.95897843094312,37.57887708054924
20201224,반계 윤웅렬 별장,,61100001111020200568ZA00060002000,26.0,11110,126.96218518533296,37.59023341237309
20201224,"가회동 김형태 가옥, 가회동 이준구 가옥",,61100001111020200568ZA00060001014,27.0,11110,126.98422949487185,37.58335086576551
20201224,"가회동 한씨 가옥, 가회동 백인제 가옥",,61100001111020200568ZA00060001015,28.0,11110,126.98476681383072,37.58086223521921
20201224,혜화동 김상협 가옥,,61100001111020200568ZA00060001017,29.0,11110,127.00133739594362,37.589615148757765
20201224,체부동 홍종문 가옥,,61100001111020200568ZA00060002003,30.0,11110,126.97019137667748,37.57754802260373
20201224,원서동 백홍범 가옥,,61100001111020200568ZA00060002001,31.0,11110,126.9885941939834,37.583592853597885
20201224,정업원 터,,61100001111020200568ZA00060001019,32.0,11110,127.01646972940594,37.57968323499156
20201224,선희궁 터,,61100001111020200568ZA00060003000,33.0,11110,126.9684395288934,37.584832385787735
20201224,동아일보 사옥,,61100001111020200568ZA00060005001,34.0,11110,126.97767836510556,37.56984015713133
20201224,안평대군 이용 집터,,61100001111020200568ZA00060001021,35.0,11110,126.96291139058918,37.59166589486968
20201224,안양암 마애관음보살좌상,,61100001111020200568ZA00060001024,37.0,11110,127.0133978266363,37.57548185596645
20201224,세검정 터,세검정 터,61100001111020200568ZA00060001001,39.0,11110,126.95978018125817,37.60087952913584
20201224,승동교회,,61100001111020200568ZA00060001022,36.0,11110,126.9860875619066,37.57159842523712
,,,61100001114020200568ZA00060001001,1.0,11140,127.00496569819481,37.558164207340525
,,,61100001114020200568ZA00060001002,2.0,11140,127.00116253362492,37.557471162624196
,,,61100001114020200568ZA00060001003,3.0,11140,127.00312088366502,37.560902596077156
,,,61100001114020200568ZA00060001004,4.0,11140,127.00181250231371,37.5688491424218
,,,61100001114020200568ZA00060001005,5.0,11140,126.97573768397251,37.567080313639366
,,,61100001114020200568ZA00060001006,6.0,11140,126.97262118649266,37.564020107386995
,,,61100001114020200568ZA00060001007,7.0,11140,126.97385795871655,37.5678808809023
,,,61100001114020200568ZA00060001008,8.0,11140,126.98047842402806,37.56097064250379
,,,61100001114020200568ZA00060001009,9.0,11140,126.96523715880821,37.55603263257186
,,,61100001114020200568ZA00060001010,10.0,11140,126.9876988219989,37.552157180520865
,,,61100001114020200568ZA00060001011,11.0,11140,126.98669506712625,37.55477684209686
,,,61100001114020200568ZA00060001012,12.0,11140,126.98312446075515,37.56769987405772
,,,61100001114020200568ZA00060001013,13.0,11140,126.99463142009182,37.55914669667737
,,,61100001114020200568ZA00060001015,14.0,11140,126.96325365680772,37.55303591800746
,,,61100001114020200568ZA00060001017,15.0,11140,126.9790620803441,37.5651740985117
,,,61100001117020220568ZA00060001001,2.0,11170,126.94718343689178,37.533928912103995
,,,61100001117020200568ZA00060001001,1.0,11170,126.99311826396027,37.52050323066603
20250213,,,61100001129020250075ZA00060213002,1.0,11290,127.01599129633433,37.58444360464312
,,,61100001130520200568ZA00060912924,1.0,11305,127.00623739158638,37.66034581466122
,,,61100001130520200568ZA00060912824,2.0,11305,126.98933237756593,37.65494321344587
